+----+--------------------------------------------------------------------------------+-------+---------------------+---------------------+---------------------+------------------------------------------------------------------+
| id |                                    filename                                    |  mode |        atime        |        mtime        |        ctime        |                               hash                               |
+----+--------------------------------------------------------------------------------+-------+---------------------+---------------------+---------------------+------------------------------------------------------------------+
| 1  |                      D:\магистратура\123\123\database.py                       | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 14:46:08 | c7f5dc9bd2b681eb682a89009f78009c78d6230bb08811c36b3a288ffe074e29 |
| 2  |                      D:\магистратура\123\123\duplicate.db                      | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 16:40:37 | f908889288d22923073a231350045845f04926b4130972440200da50c8f3529d |
| 3  |                         D:\магистратура\123\123\la.txt                         | 33206 | 2023-01-20 14:46:08 | 1970-01-01 12:13:26 | 2023-01-20 14:46:08 | e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 |
| 4  |                         D:\магистратура\123\123\le.txt                         | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 14:46:08 | 688787d8ff144c502c7f5cffaafe2cc588d86079f9de88304c26b0cb99ce91c6 |
| 5  |                      D:\магистратура\123\123\main copy.py                      | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 14:46:08 | b1c8a37d254ef412123afd5e32ae254d0db42b8875162192e56209afa75543ee |
| 6  |                       D:\магистратура\123\123\main.ipynb                       | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 14:46:08 | 8cbf66cfb5b07d1b89d25d047ab293d61da1d4257d6a80301d5962caee36171a |
| 7  |                        D:\магистратура\123\123\main.py                         | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 14:46:08 | 032187baaa509bacdcb806b27e6f47c2932506427b6246642c3ca8cba8f1b226 |
| 8  |                       D:\магистратура\123\123\result.csv                       | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 14:46:08 | f9180f864f24ddebd6f4a8a2a51db9e5bc45a928771e5dc9eddad6dfa846389f |
| 9  |                       D:\магистратура\123\123\result.txt                       | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 14:46:08 | 20bf34a275f15d6213fbdae4a84dc04d0c24e52d7c07fb3ffbff12f38f905fd9 |
| 10 |                  D:\магистратура\123\123\.git\COMMIT_EDITMSG                   | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | 4e51766e75ea8ce24a2c168df7ed62e025c0825c13999d61e3be2e0d0a18cd66 |
| 11 |                      D:\магистратура\123\123\.git\config                       | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:43 | ae92442faf239827ebfaceab9346af4b04bf7c5d56500f0382d0d4508a3845c8 |
| 12 |                    D:\магистратура\123\123\.git\description                    | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | 85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee |
| 13 |                       D:\магистратура\123\123\.git\HEAD                        | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:15 | 28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80 |
| 14 |                       D:\магистратура\123\123\.git\index                       | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:41:45 | 7f986c2a9cc43e17a00e55623c3ed1817ae32b1b6781b2f8a8a564713dd38665 |
| 15 |            D:\магистратура\123\123\.git\hooks\applypatch-msg.sample            | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | 0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7 |
| 16 |              D:\магистратура\123\123\.git\hooks\commit-msg.sample              | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | 1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437 |
| 17 |          D:\магистратура\123\123\.git\hooks\fsmonitor-watchman.sample          | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0 |
| 18 |             D:\магистратура\123\123\.git\hooks\post-update.sample              | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | 81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5 |
| 19 |            D:\магистратура\123\123\.git\hooks\pre-applypatch.sample            | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475 |
| 20 |              D:\магистратура\123\123\.git\hooks\pre-commit.sample              | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | f9af7d95eb1231ecf2eba9770fedfa8d4797a12b02d7240e98d568201251244a |
| 21 |           D:\магистратура\123\123\.git\hooks\pre-merge-commit.sample           | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53 |
| 22 |               D:\магистратура\123\123\.git\hooks\pre-push.sample               | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a |
| 23 |              D:\магистратура\123\123\.git\hooks\pre-rebase.sample              | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | 4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3 |
| 24 |             D:\магистратура\123\123\.git\hooks\pre-receive.sample              | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989 |
| 25 |          D:\магистратура\123\123\.git\hooks\prepare-commit-msg.sample          | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619 |
| 26 |           D:\магистратура\123\123\.git\hooks\push-to-checkout.sample           | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | a53d0741798b287c6dd7afa64aee473f305e65d3f49463bb9d7408ec3b12bf5f |
| 27 |                D:\магистратура\123\123\.git\hooks\update.sample                | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | 8d5f2fa83e103cf08b57eaa67521df9194f45cbdbcb37da52ad586097a14d106 |
| 28 |                   D:\магистратура\123\123\.git\info\exclude                    | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | 6671fe83b7a07c8932ee89164d1f2793b2318058eb8b98dc5c06ee0a5a3b0ec1 |
